"","text","Emotion(H, S, A, N)","","","","",""
"","A very kind review of my Thomas Sowell biography: “Maverick” chronicles important figure in Black conservative movement https://t.co/jHNVumDJi8 via @MERCnewsroom @ThomasSowell @BasicBooks","H","","","","",""
"","","","","","","",""
"","@Transgendertrd It's extraordinary that GOSH would allow this to happen after the findings of the Cass Review interim report.","N","","","","",""
"","Review | A Marvellous Light (The Last Binding #1) by Freya Marske (ARC) (spoiler..I loved it!) https://t.co/f0VaSFXHtB","H","","","","",""
"","@CTVNews After Biden threat China and or so call fearless coward of Canada and his chicken sock crew just lot there precious Lithium mine in China that he wasted I don’t know how much dollars of our taxpayers money","A","","","","",""
"","@FoxNews That's FoxNewsSpeak for President Biden's popularity is growing.","N","","","","",""
"","@iSee_PW @NGrossman81 There wasn't a crime, but it did hurt repair man's feelings. 

https://t.co/6qVMiJHnjG","N","","","","",""
"","@Lexi_Lonas ""As gas hits record high prices because of Biden"". Wow, No bias there 'eh?","N","","","","",""
"","@MyFlwsUNTCHBL @michaelpetraeus @ianapowers @anitacl63 @thebradfordfile The one and only things that matters is sanctions on Russian Oil. Thank you Mr Biden for lifting those sanctions!! We are very grateful. But yes, Mr Trump was too soft on Russia!! Yea please elect Mr Biden again! He is very tough on Russia!! US needs Biden so he can be tough!!","A","","","","",""
"","@seanhannity  if I wanted to hear Russian propaganda I could find me some Channel one to watch.

I don’t get this Biden BS.

Trump apologized for Melania not being there…while she was standing next to him! 

And @IngrahamAngle had to correct him that US was attacking Ukraine!  https://t.co/WrMbjqOVua","A","","","","",""
"","@BonB1971 @POTUS @CFPB Right?! It can’t be bankrupted, and clearly it’s not going to be forgiven by Biden so it’s the least that could happen","N","","","","",""
"","#TheBidenGap @TuckerCarlson Dementia riddled Joe talks about John McCain like they were tight as ticks but McCain told a story once shoveled by Nixon on Biden re: his kid's babysitter &amp; if that story had film- Hunter's degenerate lifestyle &amp; treasons would pale by comparison. https://t.co/acSuQEaW4c","N","","","","",""
"","","","","","","",""
"","","","","","","",""
"","#tfg's obsession with silencing his former aides is blowing up in his face: report  https://t.co/a46nAB3OYS","N","","","","",""
"","After the FBI fired Steele as a source cuz he had spoken w/media, it arranged for him to continue providing his reports to FBI by having him meet w/ DoJ atty instead.
This dual-prong approach resulted in a public saturated with circular confirmation of Trump-Russia collusion.”","N","","","","",""
"","@OdorRj @stevesgirl56 @GOP True, it is below the record highs set — during the Biden administration.  The Dow was just under 31,000 when Biden took office; today it is 34,754.  The Nasdaq was 13,197; today it is  13,893.  It is still better higher under Biden than trump.","N","","","","",""
"","@seanhannity ""I will have everyone back in the churches by Easter."" ~ The Unifying President, Donald J. Trump","","","","","",""
"","@Chris_1791 @nypost this information has been out for YEARS, but never went anywhere because TrUmP BaD. you turdlords are holding this country back with your virtue signaling, partisan politics, misplaced sense of morality and refusal to see the truth because it damages your egos. Shame on you","A","","","","",""
"","@nicolemoralesdc @GOPChairwoman A reminder. 

You are NEVER going to remove the extreme stench of republicans supporting the murderer of  innocents and children, Trump’s genius pal and comrade Putin. History will NOT forget.","A","","","","",""
"","@hypnoksa @MarshaBlackburn They didn’t accomplish jack, meaning his cabinet, He passed everything with an executive order. Trump didn’t take advice from anyone,the only people he listened to was all the damn family he put on staff and if u had any sense you would know that!","A","","","","",""
"","@LadyJayPersists @markknoller Just like all of the liberals you’re very delusional and mistaken Trump worth even when he was on the golf course","N","","","","",""
"","@RonFilipkowski Average American commute is 27 minutes. Biden WH to DE commute is 27 minutes. 

Commute time from WH to Maralago is 3 hrs. Cost $3.4 million dollars per. By Feb 2019, Trump trips to hi$ luxury re$ort getaway cost taxpayers $64 million.

Joe is an All American bargain. ","N","","","","",""
"","@JazzShaw @nytimes I demand a probe into each trump kid that profited hundreds of millions while serving and also defrauding cancer charities. 樂","A","","","","",""
"","@leroymerlinfr @koztoujours Stop selling in Russia. Stop pay for the war in Ukraine! Shame on you #Anonymous #CloseTheSky #UkraineUnderAttaсk #Ukriane #StandWithUkraine #ukrainianchild #WARINUKRAINE @DanoneFR @LaRedouteFr @KiabiFrance @leroymerlinfr @NestleFr","A","","","","",""
"","","","","","","",""
"","- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim  for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto","N","","","","",""
"","Yeah yeah we can talk about NGOs as imperialist structures you're absoluelty right but also if I need someone to do physical security within ukraine I'm not hiring your mate kev who does a bit of hunt sabbing(unless he was also in the YPG).","N","","","","",""
"","","","","","","",""
"","@lukey372 @afneil It doesn't have to be all Nato. Do you think the free world should just capitulate and shake Putin's hand? That nearly happened with Hitler.. Putin has to be stopped somehow. There are about 40million people in Ukraine - should we just turn our backs on them out of fear?","A","","","","",""
"","","","","","","",""
"","Ukraine Maps: Tracking Where Russian Forces Are Invading - The New York Times https://t.co/7oeFmHm3KZ","N","","","","",""
"","No. It turns out that these space suits are nothing new.

And absolutely nothing to do with the Ukraine. https://t.co/vZHxOHAFTC","N","","","","",""
"","my sister posted a new ORIGINAL SONG!!!!! Please watch and share: For Ukraine: ""I Know Where the Sunflowers Grow"" (Anti-War Anthem) https://t.co/ZrFyKAWvwS via @YouTube","N","","","","",""
"","@MacaesBruno Sorry, the Russian government is in no position to expand the scope of this conflict. 55% of their fighting force is stuck in Ukraine taking huge losses and nothing to show for it &amp; their economy is being  choked.  They don't have the wherewithal to do it.
https://t.co/qo0LMrD6Tb","N","","","","",""
"","@leroymerlinfr @GllmD @Chronopost Stop selling in Russia. Stop pay for the war in Ukraine! Shame on you #Anonymous #CloseTheSky #UkraineUnderAttaсk #Ukriane #StandWithUkraine #ukrainianchild #WARINUKRAINE @DanoneFR @LaRedouteFr @KiabiFrance @leroymerlinfr @NestleFr","A","","","","",""
"","[AUDIO] Episode 229 -- DOJ Charges TV Producer for Violations of Ukraine Sanctions https://t.co/dWI9jX5eWL | by @mikevolkov20","N","","","","",""
"","https://t.co/QM65XaW0vl #ukraine #russia #putin stop the war","A","","","","",""
"","Viktoria, 32, describes the birth of her first child in a hospital underground shelter https://t.co/5cOTfxuhJZ #russia #ukraine","N","","","","",""
"","@TheBuzzerUK Isn’t anything new for Ukraine. Been going on for years","N","","","","",""
"","@Ukraine I keep doing the magic and my members keep earning high,start trading with profitable signals 
Let’s win together on Binance future trading  #BTC #ETH #BNB
join us on telegram channel and see our story 
https://t.co/xtcP0UQQbV https://t.co/rOWCuh7ULU","N","","","","",""
"","","","","","","",""
"","@SalvMun Pray for Ukraine
Sales commission will go to help our ukrainaian defenders.

if you do not want to buy, add it to your favorites on my account

P.S.
Thank you very much

https://t.co/VFPEFpP5hP","N","","","","",""
"","@TheShipYard2 The fog of war…they may give it a limited go, but only in favourable conditions. Russia’s amphib forces are not what you would call nimble. Essen FFG was out and about prior to hostilities. The Ionian Sea is an interesting place as you illustrate.","N","","","","",""
"","@leroymerlinfr @marionbct4 Stop selling in Russia. Stop pay for the war in Ukraine! Shame on you #Anonymous #CloseTheSky #UkraineUnderAttaсk #Ukriane #StandWithUkraine #ukrainianchild #WARINUKRAINE @DanoneFR @LaRedouteFr @KiabiFrance @leroymerlinfr @NestleFr","A","","","","",""
"","Ukraine: Campaigns of ethnic cleansing against Russians
Ukraine: Works to start a new World War
Russia: Invades to stop both these things
NPCS: ""OMG PUTLER!"" https://t.co/e1QGdC95df","A","","","","",""
"","@ShantMM @DonaldJTrumpJr Any comments on January 6th? What about the money laundering that trump does for Putin? What about the relationship that trump and ivanka have with the Russian operative that returned to Russia in 2020?","N","","","","",""
"","@KyivIndependent What’s next? Russia claiming Ukraine is going to attack every beloved cartoon character in Western culture. Better warn Bart Simpson and Dora The Explorer.","N","","","","",""
"","@instablog9ja ⚡️⚡️ Heavy firefight 礪
 #Ukraine Military Ambush #russia Tanks Jet x ❗️⚠️
https://t.co/J764AKdVZB","N","","","","",""
"","","","","","","",""
"","They all knew.
All authorities are supposed to protect vulnerable #children.

Even China &amp; Russia tried to blow the whistle on #HunterBiden.

 @TheDemocrats @CNN and @FoxNews social media like #Zuckerberg  covered it up together with the authorities.

No child can withstand that https://t.co/iPrTlFKGIr","N","","","","",""
"","@Wolfgang18842 I think it's Russia even if I want the Ukraine to get out of the war in one piece. Russia is just an entirely different beast. They have just far more manpower to throw at the front. Plus China will never allow their ecconomy to fully collapse. They can't loose their biggest ally","N","","","","",""
"","Welp...

Fight in Swansea’s Taco Bell sees employee knock out angry customer

https://t.co/7eBwbt1IUZ","N","","","","",""
"","wouldn't mind seeing this employee go on a tour of all the late night Taco Bell locations https://t.co/9aNRIrq8b4","N","","","","",""
"",". @joshuadun i have a plan: you don’t have to find tyler because you will  buy taco bell, and tyler will find you","N","","","","",""
"","Me when I order Taco Bell instead of cooking dinner  https://t.co/9fxHviGYbO","N","","","","",""
"","@El_Cliente Suddenly craving Taco Bell","N","","","","",""
"","@VladDavidzon I'm really sorry, I had taco bell yesterday 凉","N","","","","",""
"","@ballin_hoop Don’t eat Taco Bell before sex","N","","","","",""
"","@GOP Taco Bell?","N","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","It’s McDonald’s not rocket science mother fucker","A","","","","",""
"","JUST IN: ⁉️ Ronald McDonald and NBA Youngboy are holding peace talks tomorrow!!!  https://t.co/uvlZHc8DqS","N","","","","",""
"","@BoiledSports Why do you think Coach K is retiring and selling the McDonald's franchise with the paid burger boys in it.....can't keep it under the rug anymore.","N","","","","",""
"","@Adinrossburn mcdonald’s gang owns you","N","","","","",""
"","@iamjennwhy I used to think that but now…my Burger King fries tasted better than my recent McDonald’s fries…. https://t.co/lKllF5smNc","N","","","","",""
"","@afrosabi McDonald's used to make their biscuits with bacon grease. Only place you could get biscuits truly good as grandma's. Then everyone suddenly went all anti-flavor in the 80s.","N","","","","",""
"","So Gabarone doesn't have McDonald's but I can order a Big Mac while in my comfort in the slums of Mthatha???? https://t.co/Za4vKK8Mg4","N","","","","",""
"","I want mcdonald https://t.co/ts5QqSkdFU","N","","","","",""
"","this has nothing to do wot  race age or sex but nice rry trying to fit  it into trudeau's propoganda crap! this same crap happens in the same countries people screaming hate are coming from  as well https://t.co/rLBy0xuXui","N","","","","",""
"","@MikeWel61647760 @CSince1986 @Spectre_hate You’re literally referencing a Government source on vaccines and asserting that they’re unaware of their own data - and I’M blinkered?! 

Think.","N","","","","",""
"","","","","","","",""
"","#FRAvENG Well done France. Outplayed us all. Hate to say it.. but slightly impressed..","H","","","","",""
"","I hate ","A","","","","",""
"","@MayNightyy I hate that map I was being sarcastic at best LMFAO but that doesn't come across that well while drunk I guess LOL","H","","","","",""
"","@IDONTM1SSCUH such a weird weird hate for fabinho stop trying to be so different","A","","","","",""
"","","","","","","",""
"","I hate sports","A","","","","",""
"","my worst nightmare is only being able to wear v neck I HATE THOSE SHIRTS SO FUCKING MUCH","A","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","now today one year, I’m in puerto rico. yes I do love that for me, shows persistence.","H","","","","",""
"","love sis https://t.co/SzMRApDTVY","H","","","","",""
"","","","","","","",""
"","Didn't your mother ever tell you not to play with your food?
","H","","","","",""
"","my sweet boy i love him so bad :( https://t.co/1b8BxN8H3i","H","","","","",""
